Vendor,Service Type,Contract ID,Strategic Risk,Legal and Regulatory Compliance,Financial Risk,Reputational,Information Security,Information Technology,Physical Security,Insurance Coverage,Service Risk Score,Normalized Score,Reassessment Status
Vend-65,Insurance,Con-190,1,3,3,2,2,2,2,1,8,0.5,Past Due > 30 Days
Vend-61,Hardware,Con-191,3,1,4,1,2,2,4,2,9.5,0.59375,Past Due > 30 Days
Vend-86,Engineering,Con-192,1,2,1,1,3,1,1,2,6,0.375,Past Due > 30 Days
Vend-58,Professional Services,Con-193,3,4,4,4,4,2,4,3,14,0.875,Complete
Vend-71,Insurance,Con-194,3,1,4,3,4,1,2,4,11,0.6875,Complete
Vend-61,Stationary,Con-195,3,2,2,1,1,4,2,3,9,0.5625,Past Due > 30 Days
Vend-89,Administrative Suppport,Con-196,2,1,2,3,4,4,4,4,12,0.75,Past Due > 30 Days
Vend-79,Mail,Con-197,2,4,1,1,4,3,2,2,9.5,0.59375,Past Due > 30 Days
Vend-75,Insurance,Con-198,4,2,3,4,2,3,2,2,11,0.6875,In Progress - Due in < 15 Days
Vend-84,Administrative Suppport,Con-199,3,2,4,1,2,3,1,2,9,0.5625,Past Due > 30 Days
Vend-64,Engineering,Con-200,4,3,4,1,1,3,4,2,11,0.6875,Complete
